z,Q,w_eff
3.865221e+01,1.055519e+04,-1.566827e+00
3.992109e+01,1.087396e+04,-1.588130e+00
4.123163e+01,1.115326e+04,-1.608765e+00
4.258518e+01,1.139154e+04,-1.628676e+00
4.398317e+01,1.158796e+04,-1.647816e+00
4.542706e+01,1.174232e+04,-1.666148e+00
4.691835e+01,1.185505e+04,-1.683648e+00
4.845859e+01,1.192712e+04,-1.700297e+00
5.004939e+01,1.196001e+04,-1.716088e+00
5.169242e+01,1.195558e+04,-1.731022e+00
5.338938e+01,1.191605e+04,-1.745105e+00
5.514206e+01,1.184386e+04,-1.758353e+00
5.695227e+01,1.174164e+04,-1.770785e+00
5.882190e+01,1.161213e+04,-1.782425e+00
6.075292e+01,1.145811e+04,-1.793301e+00
6.274732e+01,1.128233e+04,-1.803444e+00
6.480720e+01,1.108750e+04,-1.812887e+00
6.693470e+01,1.087625e+04,-1.821664e+00
6.913204e+01,1.065106e+04,-1.829812e+00
7.140151e+01,1.041428e+04,-1.837366e+00
7.374549e+01,1.016810e+04,-1.844361e+00
7.616642e+01,9.914543e+03,-1.850834e+00
7.866682e+01,9.655468e+03,-1.856818e+00
8.124930e+01,9.392553e+03,-1.862347e+00
8.391656e+01,9.127313e+03,-1.867453e+00
8.667139e+01,8.861099e+03,-1.872167e+00
8.951665e+01,8.595109e+03,-1.876519e+00
9.245531e+01,8.330397e+03,-1.880536e+00
9.549045e+01,8.067879e+03,-1.884245e+00
9.862522e+01,7.808348e+03,-1.887671e+00
1.018629e+02,7.552481e+03,-1.890837e+00
1.052069e+02,7.300850e+03,-1.893765e+00
1.086606e+02,7.053933e+03,-1.896475e+00
1.122277e+02,6.812124e+03,-1.898987e+00
1.159120e+02,6.575739e+03,-1.901317e+00
1.197171e+02,6.345026e+03,-1.903483e+00
1.236472e+02,6.120174e+03,-1.905498e+00
1.277063e+02,5.901321e+03,-1.907378e+00
1.318987e+02,5.688557e+03,-1.909136e+00
1.362287e+02,5.481930e+03,-1.910782e+00
1.407008e+02,5.281458e+03,-1.912328e+00
1.453198e+02,5.087124e+03,-1.913785e+00
1.500903e+02,4.898890e+03,-1.915161e+00
1.550175e+02,4.716693e+03,-1.916465e+00
1.601064e+02,4.540453e+03,-1.917705e+00
1.653624e+02,4.370075e+03,-1.918889e+00
1.707910e+02,4.205451e+03,-1.920022e+00
1.763977e+02,4.046463e+03,-1.921111e+00
1.821885e+02,3.892985e+03,-1.922162e+00
1.881694e+02,3.744885e+03,-1.923180e+00
1.943467e+02,3.602026e+03,-1.924169e+00
2.007267e+02,3.464267e+03,-1.925135e+00
2.073162e+02,3.331465e+03,-1.926080e+00
2.141220e+02,3.203477e+03,-1.927009e+00
2.211512e+02,3.080159e+03,-1.927926e+00
2.284112e+02,2.961366e+03,-1.928832e+00
2.359095e+02,2.846956e+03,-1.929732e+00
2.436540e+02,2.736787e+03,-1.930628e+00
2.516527e+02,2.630720e+03,-1.931523e+00
2.599140e+02,2.528618e+03,-1.932418e+00
2.684465e+02,2.430346e+03,-1.933316e+00
2.772591e+02,2.335773e+03,-1.934220e+00
2.863610e+02,2.244771e+03,-1.935130e+00
2.957617e+02,2.157212e+03,-1.936048e+00
3.054710e+02,2.072977e+03,-1.936978e+00
3.154990e+02,1.991945e+03,-1.937918e+00
3.258562e+02,1.914000e+03,-1.938872e+00
3.365535e+02,1.839032e+03,-1.939841e+00
3.476019e+02,1.766931e+03,-1.940825e+00
3.590130e+02,1.697591e+03,-1.941827e+00
3.707988e+02,1.630912e+03,-1.942846e+00
3.829714e+02,1.566793e+03,-1.943885e+00
