z,E,H,Omega_m,Omega_Lambda,Omega_r
6.188468e-01,1.438887e+00,9.932639e+01,6.147307e-01,3.849707e-01,2.985465e-04
6.391624e-01,1.456583e+00,1.005479e+02,6.227547e-01,3.769391e-01,3.062388e-04
6.601449e-01,1.475061e+00,1.018235e+02,6.308691e-01,3.688167e-01,3.142002e-04
6.818162e-01,1.494360e+00,1.031557e+02,6.390670e-01,3.606105e-01,3.224380e-04
7.041990e-01,1.514518e+00,1.045472e+02,6.473409e-01,3.523282e-01,3.309593e-04
7.273165e-01,1.535577e+00,1.060009e+02,6.556826e-01,3.439777e-01,3.397714e-04
7.511929e-01,1.557580e+00,1.075197e+02,6.640836e-01,3.355675e-01,3.488815e-04
7.758532e-01,1.580570e+00,1.091068e+02,6.725350e-01,3.271067e-01,3.582970e-04
8.013230e-01,1.604596e+00,1.107653e+02,6.810274e-01,3.186046e-01,3.680251e-04
8.276289e-01,1.629707e+00,1.124987e+02,6.895510e-01,3.100710e-01,3.780730e-04
8.547985e-01,1.655954e+00,1.143105e+02,6.980957e-01,3.015159e-01,3.884480e-04
8.828599e-01,1.683391e+00,1.162045e+02,7.066511e-01,2.929498e-01,3.991575e-04
9.118425e-01,1.712076e+00,1.181846e+02,7.152064e-01,2.843834e-01,4.102086e-04
9.417766e-01,1.742068e+00,1.202549e+02,7.237508e-01,2.758276e-01,4.216087e-04
9.726934e-01,1.773427e+00,1.224197e+02,7.322732e-01,2.672934e-01,4.333651e-04
1.004625e+00,1.806221e+00,1.246834e+02,7.407624e-01,2.587922e-01,4.454852e-04
1.037605e+00,1.840516e+00,1.270509e+02,7.492070e-01,2.503350e-01,4.579764e-04
1.071668e+00,1.876385e+00,1.295268e+02,7.575960e-01,2.419331e-01,4.708462e-04
1.106848e+00,1.913901e+00,1.321166e+02,7.659181e-01,2.335978e-01,4.841020e-04
1.143184e+00,1.953142e+00,1.348254e+02,7.741623e-01,2.253400e-01,4.977517e-04
1.180713e+00,1.994191e+00,1.376590e+02,7.823176e-01,2.171706e-01,5.118030e-04
1.219473e+00,2.037133e+00,1.406233e+02,7.903736e-01,2.091001e-01,5.262640e-04
1.259506e+00,2.082057e+00,1.437244e+02,7.983200e-01,2.011389e-01,5.411427e-04
1.300854e+00,2.129056e+00,1.469687e+02,8.061467e-01,1.932968e-01,5.564477e-04
1.343558e+00,2.178229e+00,1.503632e+02,8.138445e-01,1.855833e-01,5.721876e-04
1.387665e+00,2.229678e+00,1.539147e+02,8.214042e-01,1.780074e-01,5.883714e-04
1.433219e+00,2.283511e+00,1.576307e+02,8.288174e-01,1.705776e-01,6.050083e-04
1.480269e+00,2.339839e+00,1.615191e+02,8.360762e-01,1.633017e-01,6.221082e-04
1.528864e+00,2.398779e+00,1.655877e+02,8.431733e-01,1.561871e-01,6.396811e-04
1.579053e+00,2.460456e+00,1.698453e+02,8.501020e-01,1.492402e-01,6.577375e-04
1.630891e+00,2.524997e+00,1.743005e+02,8.568565e-01,1.424672e-01,6.762887e-04
1.684430e+00,2.592536e+00,1.789628e+02,8.634313e-01,1.358733e-01,6.953462e-04
1.739726e+00,2.663215e+00,1.838417e+02,8.698219e-01,1.294631e-01,7.149222e-04
1.796838e+00,2.737181e+00,1.889476e+02,8.760245e-01,1.232405e-01,7.350297e-04
1.855825e+00,2.814589e+00,1.942911e+02,8.820358e-01,1.172086e-01,7.556820e-04
1.916748e+00,2.895599e+00,1.998832e+02,8.878533e-01,1.113698e-01,7.768934e-04
1.979672e+00,2.980382e+00,2.057358e+02,8.934754e-01,1.057259e-01,7.986790e-04
2.044661e+00,3.069114e+00,2.118610e+02,8.989008e-01,1.002781e-01,8.210544e-04
2.111783e+00,3.161981e+00,2.182716e+02,9.041293e-01,9.502667e-02,8.440363e-04
2.181109e+00,3.259178e+00,2.249810e+02,9.091609e-01,8.997143e-02,8.676420e-04
2.252711e+00,3.360907e+00,2.320034e+02,9.139965e-01,8.511157e-02,8.918899e-04
2.326663e+00,3.467382e+00,2.393534e+02,9.186375e-01,8.044568e-02,9.167992e-04
2.403043e+00,3.578827e+00,2.470464e+02,9.230858e-01,7.597181e-02,9.423902e-04
2.481930e+00,3.695476e+00,2.550987e+02,9.273438e-01,7.168753e-02,9.686839e-04
2.563407e+00,3.817573e+00,2.635271e+02,9.314144e-01,6.758994e-02,9.957026e-04
2.647559e+00,3.945377e+00,2.723494e+02,9.353008e-01,6.367570e-02,1.023470e-03
2.734474e+00,4.079156e+00,2.815842e+02,9.390069e-01,5.994112e-02,1.052009e-03
2.824241e+00,4.219194e+00,2.912509e+02,9.425365e-01,5.638213e-02,1.081346e-03
2.916956e+00,4.365785e+00,3.013702e+02,9.458941e-01,5.299440e-02,1.111508e-03
3.012714e+00,4.519242e+00,3.119633e+02,9.490842e-01,4.977333e-02,1.142521e-03
3.111616e+00,4.679889e+00,3.230527e+02,9.521115e-01,4.671409e-02,1.174415e-03
3.213764e+00,4.848067e+00,3.346621e+02,9.549811e-01,4.381167e-02,1.207220e-03
3.319266e+00,5.024135e+00,3.468160e+02,9.576981e-01,4.106094e-02,1.240966e-03
3.428231e+00,5.208467e+00,3.595405e+02,9.602677e-01,3.845664e-02,1.275686e-03
3.540774e+00,5.401459e+00,3.728627e+02,9.626951e-01,3.599344e-02,1.311414e-03
3.657011e+00,5.603521e+00,3.868111e+02,9.649859e-01,3.366596e-02,1.348185e-03
3.777064e+00,5.815089e+00,4.014156e+02,9.671452e-01,3.146881e-02,1.386034e-03
3.901058e+00,6.036615e+00,4.167075e+02,9.691784e-01,2.939661e-02,1.425000e-03
4.029122e+00,6.268577e+00,4.327199e+02,9.710909e-01,2.744400e-02,1.465120e-03
4.161391e+00,6.511474e+00,4.494871e+02,9.728879e-01,2.560569e-02,1.506436e-03
4.298001e+00,6.765831e+00,4.670453e+02,9.745745e-01,2.387646e-02,1.548989e-03
4.439097e+00,7.032199e+00,4.854327e+02,9.761560e-01,2.225119e-02,1.592822e-03
4.584824e+00,7.311155e+00,5.046890e+02,9.776372e-01,2.072483e-02,1.637979e-03
4.735335e+00,7.603304e+00,5.248561e+02,9.790230e-01,1.929249e-02,1.684507e-03
4.890787e+00,7.909283e+00,5.459778e+02,9.803181e-01,1.794940e-02,1.732454e-03
