n,beta,viable,z_t,Qtilde_max_z0_5
0.375,0.0001,False,2.2673629969158293,-0.13997919683257787
0.375,0.00021544346900318823,False,2.2657413766025822,-0.1399662669581188
0.375,0.00046415888336127773,False,2.2622600890628837,-0.1399384205275576
0.375,0.001,False,2.2548167604056024,-0.1398784742326897
0.375,0.002154434690031882,False,2.2390385422498413,-0.13974954168594395
0.375,0.004641588833612777,False,2.206537308316898,-0.13947277180977602
0.375,0.01,False,2.142349131725734,-0.13888112104310413
0.375,0.021544346900318822,False,2.025260166977549,-0.13762753920140108
0.375,0.046415888336127725,True,1.8372596338530314,1.2189768573146913
0.375,0.1,True,1.582205665636345,2.0810487287293906
0.4,1e-06,False,2.5196265611357163,-0.1448178455610456
0.4,2.1544346900318822e-06,False,2.5196058728978206,-0.14481772012413385
0.4,4.641588833612782e-06,False,2.519561303257013,-0.1448174498794839
0.4,9.999999999999999e-06,False,2.519465289307595,-0.14481686765960308
0.4,2.1544346900318823e-05,False,2.519258472646227,-0.14481561332609622
0.4,4.641588833612772e-05,False,2.5188130811393137,-0.1448129110448811
0.4,0.0001,False,2.5178543555425104,-0.1448070896132035
0.4,0.00021544346900318823,False,2.5157927384081247,-0.144794549838321
0.4,0.00046415888336127773,False,2.5113690914848177,-0.14476754354590687
0.4,0.001,False,2.501921023502512,-0.14470940585516104
0.4,0.002154434690031882,False,2.4822248156691336,-0.14458436325584273
0.4,0.004641588833612777,False,2.441606308899678,-0.14431594363951977
0.4,0.01,False,2.362504206724544,-0.1437421432173564
0.4,0.021544346900318822,False,2.220485806611381,-0.14252638245018667
0.4,0.046415888336127725,True,1.9978546396086518,0.8180936784429692
0.4,0.1,True,1.7040090600825721,2.0026270413563516
0.425,1e-06,False,2.812873274330469,-0.1493626361569862
0.425,2.1544346900318822e-06,False,2.8128467170149904,-0.1493625143937217
0.425,4.641588833612782e-06,False,2.8127895036968207,-0.149362252063676
0.425,9.999999999999999e-06,False,2.81266625379376,-0.14936168689515944
0.425,2.1544346900318823e-05,False,2.8124007777170674,-0.1493604692970823
0.425,4.641588833612772e-05,False,2.811829094906569,-0.1493578461570693
0.425,0.0001,False,2.8105986840583332,-0.1493521952165673
0.425,0.00021544346900318823,False,2.807953593280655,-0.1493400226917154
0.425,0.00046415888336127773,False,2.8022814256409982,-0.14931380732751232
0.425,0.001,False,2.790412285615038,-0.1492573723043904
0.425,0.002154434690031882,False,2.7653963273338316,-0.14913599180418088
0.425,0.004641588833612777,False,2.7142573185665144,-0.14887543334272102
0.425,0.01,False,2.615441412232916,-0.14831843770569558
0.425,0.021544346900318822,False,2.44205042718162,-0.14713828269565385
